Opportunity_id,date,open,high,low,close,is_last_candle_of_found_pattern,is_buy_opportunity,is_sell_opportunity,succeeded,date_Buy,return_Buy,date_Sell,return_Sell,market,model,pair_name,entry_period,min_points,tolerance_points,profit_ratio,chosen_candle_date,chosen_candle_open,chosen_candle_high,chosen_candle_low,chosen_candle_close
Opportunity-18,2013-07-18,1.3123,1.3125,1.3066,1.3111,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-18,2013-07-19,1.311,1.3147,1.3088,1.3139,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-18,2013-07-22,1.3136,1.3216,1.3136,1.3184,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-18,2013-07-23,1.3183,1.3234,1.3163,1.3222,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-19,2015-04-21,1.07377,1.07813,1.0658,1.07375,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-19,2015-04-23,1.07196,1.08458,1.0665,1.08148,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-19,2015-04-24,1.08152,1.09002,1.0782,1.08695,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-19,2015-04-27,1.0865,1.09266,1.0818,1.0875,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-19,2015-04-28,1.08756,1.09911,1.0858,1.09748,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-19,2015-05-11,1.11967,1.12025,1.1128,1.11484,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-04-20,1.07152,1.07776,1.0705,1.07143,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-04-21,1.07146,1.07381,1.068,1.07246,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-04-24,1.08842,1.08902,1.0818,1.08675,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-05-11,1.08665,1.08931,1.0837,1.08633,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-05-12,1.08633,1.09343,1.0854,1.0926,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-05-15,1.09253,1.099,1.092,1.09808,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-20,2017-05-18,1.11612,1.1172,1.1074,1.11076,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-05,1.1353,1.137,1.1311,1.13532,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-06,1.13532,1.1425,1.13279,1.1422,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-13,1.14159,1.14559,1.1369,1.13957,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-14,1.13953,1.1472,1.139,1.14613,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-17,1.14699,1.149,1.1433,1.14768,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-18,1.14769,1.15832,1.14694,1.15505,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-21,2017-07-27,1.17343,1.17768,1.16486,1.16841,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-22,2017-11-21,1.17338,1.17578,1.1712,1.17335,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-22,2017-12-12,1.17724,1.17927,1.1716,1.17361,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-22,2017-12-18,1.17457,1.18343,1.1739,1.17826,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-22,2017-12-19,1.17825,1.1849,1.1775,1.18415,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-23,2019-01-04,1.13932,1.14191,1.1344,1.13942,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-23,2019-01-24,1.13797,1.13914,1.1288,1.13013,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-02-26,1.08813,1.09087,1.0855,1.08809,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-02-27,1.08809,1.10066,1.0876,1.1,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-02-28,1.1,1.10532,1.09509,1.1025,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-03-02,1.1045,1.11853,1.10364,1.11335,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-03-03,1.11335,1.12136,1.10953,1.11694,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-03-04,1.11694,1.11876,1.10954,1.11339,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-03-23,1.07067,1.08282,1.06359,1.07265,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-24,2020-03-24,1.07265,1.08881,1.0721,1.07865,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-10,1.18126,1.18433,1.17797,1.1813,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-11,1.1813,1.18327,1.17454,1.17771,0,1,0,1,,,,,,,,,,,,,,,,
